Date,^GSPC,BTC-USD,2% or less,Crypto 5day retur,Consecutive SP down,,
4/30/13,0.25%,-16%,0,0%,0,,
5/1/13,-0.93%,-9%,0,0%,0,,
5/2/13,0.94%,-8%,0,0%,0,,
5/3/13,1.05%,15%,0,0%,0,,
5/6/13,0.19%,-3%,0,0%,0,,
5/7/13,0.52%,3%,0,0%,0,,
5/8/13,0.41%,0%,0,0%,0,,
5/9/13,-0.37%,4%,0,0%,0,,
5/10/13,0.43%,-2%,0,0%,0,,
5/13/13,0.00%,-4%,0,0%,0,,
5/14/13,1.01%,3%,0,0%,0,,
5/15/13,0.51%,3%,0,0%,0,,
5/16/13,-0.50%,4%,0,0%,0,,
5/17/13,1.03%,0%,0,0%,0,,
5/20/13,-0.07%,0%,0,0%,0,,
5/21/13,0.17%,1%,0,0%,0,,
5/22/13,-0.83%,2%,0,0%,0,,
5/23/13,-0.29%,5%,0,0%,0,,
5/24/13,-0.06%,-1%,0,0%,0,,
5/28/13,0.63%,0%,0,0%,0,,
5/29/13,-0.70%,-3%,0,0%,0,,
5/30/13,0.37%,0%,0,0%,0,,
5/31/13,-1.43%,0%,0,0%,0,,
6/3/13,0.59%,-6%,0,0%,0,,
6/4/13,-0.55%,0%,0,0%,0,,
6/5/13,-1.38%,-2%,0,0%,0,,
6/6/13,0.85%,-7%,0,0%,0,,
6/7/13,1.28%,-3%,0,0%,0,,
6/10/13,-0.03%,1%,0,0%,0,,
6/11/13,-1.02%,0%,0,0%,0,,
6/12/13,-0.84%,-4%,0,0%,0,,
6/13/13,1.48%,-4%,0,0%,0,,
6/14/13,-0.59%,0%,0,0%,0,,
6/17/13,0.76%,8%,0,0%,0,,
6/18/13,0.78%,1%,0,0%,0,,
6/19/13,-1.39%,3%,0,0%,0,,
6/20/13,-2.50%,-2%,1,-16%,0,,
6/21/13,0.27%,-1%,0,0%,0,,
6/24/13,-1.21%,-5%,0,0%,0,,
6/25/13,0.95%,1%,0,0%,0,,
6/26/13,0.96%,-2%,0,0%,0,,
6/27/13,0.62%,-7%,0,0%,0,,
6/28/13,-0.43%,0%,0,0%,0,,
7/1/13,0.54%,-5%,0,0%,0,,
7/2/13,-0.05%,-13%,0,0%,0,,
7/3/13,0.08%,1%,0,0%,0,,
7/5/13,1.02%,-13%,0,0%,0,,
7/8/13,0.53%,10%,0,0%,0,,
7/9/13,0.72%,15%,0,0%,0,,
7/10/13,0.02%,1%,0,0%,0,,
7/11/13,1.36%,6%,0,0%,0,,
7/12/13,0.31%,5%,0,0%,0,,
7/15/13,0.14%,-1%,0,0%,0,,
7/16/13,-0.37%,1%,0,0%,0,,
7/17/13,0.28%,-9%,0,0%,0,,
7/18/13,0.50%,2%,0,0%,0,,
7/19/13,0.16%,-2%,0,0%,0,,
7/22/13,0.20%,6%,0,0%,0,,
7/23/13,-0.19%,0%,0,0%,0,,
7/24/13,-0.38%,2%,0,0%,0,,
7/25/13,0.26%,-1%,0,0%,0,,
7/26/13,0.08%,-2%,0,0%,0,,
7/29/13,-0.37%,14%,0,0%,0,,
7/30/13,0.04%,-2%,0,0%,0,,
7/31/13,-0.01%,-2%,0,0%,0,,
8/1/13,1.25%,0%,0,0%,0,,
8/2/13,0.16%,0%,0,0%,0,,
8/5/13,-0.15%,2%,0,0%,0,,
8/6/13,-0.57%,-1%,0,0%,0,,
8/7/13,-0.38%,-3%,0,0%,0,,
8/8/13,0.39%,0%,0,0%,0,,
8/9/13,-0.36%,0%,0,0%,0,,
8/12/13,-0.12%,6%,0,0%,0,,
8/13/13,0.28%,3%,0,0%,0,,
8/14/13,-0.52%,-2%,0,0%,0,,
8/15/13,-1.43%,-1%,0,0%,0,,
8/16/13,-0.33%,3%,0,0%,0,,
8/19/13,-0.59%,7%,0,0%,0,,
8/20/13,0.38%,2%,0,0%,0,,
8/21/13,-0.58%,-1%,0,0%,0,,
8/22/13,0.86%,-3%,0,0%,0,,
8/23/13,0.39%,1%,0,0%,0,,
8/26/13,-0.40%,10%,0,0%,0,,
8/27/13,-1.59%,-2%,0,0%,0,,
8/28/13,0.27%,0%,0,0%,0,,
8/29/13,0.20%,7%,0,0%,0,,
8/30/13,-0.32%,2%,0,0%,0,,
9/3/13,0.42%,-6%,0,0%,0,,
9/4/13,0.81%,-2%,0,0%,0,,
9/5/13,0.12%,-6%,0,0%,0,,
9/6/13,0.01%,6%,0,0%,0,,
9/9/13,1.00%,3%,0,0%,0,,
9/10/13,0.73%,7%,0,0%,0,,
9/11/13,0.31%,-2%,0,0%,0,,
9/12/13,-0.34%,1%,0,0%,0,,
9/13/13,0.27%,-3%,0,0%,0,,
9/16/13,0.57%,2%,0,0%,0,,
9/17/13,0.42%,1%,0,0%,0,,
9/18/13,1.22%,-4%,0,0%,0,,
9/19/13,-0.18%,-1%,0,0%,0,,
9/20/13,-0.72%,0%,0,0%,0,,
9/23/13,-0.47%,0%,0,0%,0,,
9/24/13,-0.26%,0%,0,0%,0,,
9/25/13,-0.27%,2%,0,0%,0,,
9/26/13,0.35%,1%,0,0%,0,,
9/27/13,-0.41%,3%,0,0%,0,,
9/30/13,-0.60%,-2%,0,0%,0,,
10/1/13,0.80%,-12%,0,0%,0,,
10/2/13,-0.07%,6%,0,0%,0,,
10/3/13,-0.90%,4%,0,0%,0,,
10/4/13,0.71%,0%,0,0%,0,,
10/7/13,-0.85%,0%,0,0%,0,,
10/8/13,-1.23%,2%,0,0%,0,,
10/9/13,0.06%,1%,0,0%,0,,
10/10/13,2.18%,0%,0,0%,0,,
10/11/13,0.63%,2%,0,0%,0,,
10/14/13,0.41%,11%,0,0%,0,,
10/15/13,-0.71%,-3%,0,0%,0,,
10/16/13,1.38%,3%,0,0%,0,,
10/17/13,0.67%,7%,0,0%,0,,
10/18/13,0.65%,9%,0,0%,0,,
10/21/13,0.01%,11%,0,0%,0,,
10/22/13,0.57%,12%,0,0%,0,,
10/23/13,-0.47%,-9%,0,0%,0,,
10/24/13,0.33%,-4%,0,0%,0,,
10/25/13,0.44%,-5%,0,0%,0,,
10/28/13,0.13%,10%,0,0%,0,,
10/29/13,0.56%,4%,0,0%,0,,
10/30/13,-0.49%,-4%,0,0%,0,,
10/31/13,-0.38%,2%,0,0%,0,,
11/1/13,0.29%,1%,0,0%,0,,
11/4/13,0.36%,12%,0,0%,0,,
11/5/13,-0.28%,6%,0,0%,0,,
11/6/13,0.43%,5%,0,0%,0,,
11/7/13,-1.32%,17%,0,0%,0,,
11/8/13,1.34%,15%,0,0%,0,,
11/11/13,0.07%,2%,0,0%,0,,
11/12/13,-0.24%,5%,0,0%,0,,
11/13/13,0.81%,14%,0,0%,0,,
11/14/13,0.48%,0%,0,0%,0,,
11/15/13,0.42%,0%,0,0%,0,,
11/18/13,-0.37%,81%,0,0%,0,,
11/19/13,-0.20%,-18%,0,0%,0,,
11/20/13,-0.36%,-1%,0,0%,0,,
11/21/13,0.81%,20%,0,0%,0,,
11/22/13,0.50%,5%,0,0%,0,,
11/25/13,-0.13%,3%,0,0%,0,,
11/26/13,0.01%,17%,0,0%,0,,
11/27/13,0.25%,11%,0,0%,0,,
11/29/13,-0.08%,12%,0,0%,0,,
12/2/13,-0.27%,-9%,0,0%,0,,
12/3/13,-0.32%,5%,0,0%,0,,
12/4/13,-0.13%,7%,0,0%,0,,
12/5/13,-0.43%,-11%,0,0%,0,,
12/6/13,1.12%,-24%,0,0%,0,,
12/9/13,0.18%,9%,0,0%,0,,
12/10/13,-0.32%,12%,0,0%,0,,
12/11/13,-1.13%,-11%,0,0%,0,,
12/12/13,-0.38%,-2%,0,0%,0,,
12/13/13,-0.01%,4%,0,0%,0,,
12/16/13,0.63%,-19%,0,0%,0,,
12/17/13,-0.31%,-6%,0,0%,0,,
12/18/13,1.66%,-24%,0,0%,0,,
12/19/13,-0.06%,35%,0,0%,0,,
12/20/13,0.48%,-11%,0,0%,0,,
12/23/13,0.53%,10%,0,0%,0,,
12/24/13,0.29%,-1%,0,0%,0,,
12/26/13,0.47%,14%,0,0%,0,,
12/27/13,-0.03%,0%,0,0%,0,,
12/30/13,-0.02%,0%,0,0%,0,,
12/31/13,0.40%,0%,0,0%,0,,
1/2/14,-0.89%,6%,0,0%,0,,
1/3/14,-0.03%,3%,0,0%,0,,
1/6/14,-0.25%,15%,0,0%,0,,
1/7/14,0.61%,-13%,0,0%,0,,
1/8/14,-0.02%,7%,0,0%,0,,
1/9/14,0.03%,0%,0,0%,0,,
1/10/14,0.23%,2%,0,0%,0,,
1/13/14,-1.26%,-4%,0,0%,0,,
1/14/14,1.08%,0%,0,0%,0,,
1/15/14,0.52%,2%,0,0%,0,,
1/16/14,-0.13%,-3%,0,0%,0,,
1/17/14,-0.39%,-2%,0,0%,0,,
1/21/14,0.28%,8%,0,0%,0,,
1/22/14,0.06%,-1%,0,0%,0,,
1/23/14,-0.89%,-1%,0,0%,0,,
1/24/14,-2.09%,-3%,1,0%,0,,
1/27/14,-0.49%,3%,0,0%,0,,
1/28/14,0.61%,-1%,0,0%,0,,
1/29/14,-1.02%,-1%,0,0%,0,,
1/30/14,1.13%,2%,0,0%,0,,
1/31/14,-0.65%,0%,0,0%,0,,
2/3/14,-2.28%,-1%,1,-44%,0,,
2/4/14,0.76%,-1%,0,0%,0,,
2/5/14,-0.20%,-2%,0,0%,0,,
2/6/14,1.24%,-8%,0,0%,0,,
2/7/14,1.33%,-16%,0,0%,0,,
2/10/14,0.16%,-16%,0,0%,0,,
2/11/14,1.11%,-1%,0,0%,0,,
2/12/14,-0.03%,-8%,0,0%,0,,
2/13/14,0.58%,-15%,0,0%,0,,
2/14/14,0.48%,-5%,0,0%,0,,
2/18/14,0.12%,-31%,0,0%,0,,
2/19/14,-0.65%,-11%,0,0%,0,,
2/20/14,0.60%,-57%,0,0%,0,,
2/21/14,-0.19%,0%,0,0%,0,,
2/24/14,0.62%,56%,0,0%,0,,
2/25/14,-0.13%,-22%,0,0%,0,,
2/26/14,0.00%,337%,0,0%,0,,
2/27/14,0.49%,1%,0,0%,0,,
2/28/14,0.28%,-4%,0,0%,0,,
3/3/14,-0.74%,15%,0,0%,0,,
3/4/14,1.53%,0%,0,0%,0,,
3/5/14,-0.01%,-1%,0,0%,0,,
3/6/14,0.17%,-2%,0,0%,0,,
3/7/14,0.05%,-5%,0,0%,0,,
3/10/14,-0.05%,-1%,0,0%,0,,
3/11/14,-0.51%,-1%,0,0%,0,,
3/12/14,0.03%,2%,0,0%,0,,
3/13/14,-1.17%,1%,0,0%,0,,
3/14/14,-0.28%,-2%,0,0%,0,,
3/17/14,0.96%,-1%,0,0%,0,,
3/18/14,0.72%,-1%,0,0%,0,,
3/19/14,-0.61%,-1%,0,0%,0,,
3/20/14,0.60%,-5%,0,0%,0,,
3/21/14,-0.29%,-3%,0,0%,0,,
3/24/14,-0.49%,3%,0,0%,0,,
3/25/14,0.44%,-1%,0,0%,0,,
3/26/14,-0.70%,0%,0,0%,0,,
3/27/14,-0.19%,-18%,0,0%,0,,
3/28/14,0.46%,5%,0,0%,0,,
3/31/14,0.79%,-4%,0,0%,0,,
4/1/14,0.70%,-8%,0,0%,0,,
4/2/14,0.29%,3%,0,0%,0,,
4/3/14,-0.11%,2%,0,0%,0,,
4/4/14,-1.25%,3%,0,0%,0,,
4/7/14,-1.08%,2%,0,0%,0,,
4/8/14,0.38%,-2%,0,0%,0,,
4/9/14,1.09%,-16%,0,0%,0,,
4/10/14,-2.09%,13%,1,26%,0,,
4/11/14,-0.95%,1%,0,0%,0,,
4/14/14,0.82%,20%,0,0%,0,,
4/15/14,0.68%,2%,0,0%,0,,
4/16/14,1.05%,-7%,0,0%,0,,
4/17/14,0.14%,-3%,0,0%,0,,
4/21/14,0.38%,0%,0,0%,0,,
4/22/14,0.41%,0%,0,0%,0,,
4/23/14,-0.22%,3%,0,0%,0,,
4/24/14,0.17%,-7%,0,0%,0,,
4/25/14,-0.81%,-1%,0,0%,0,,
4/28/14,0.32%,-3%,0,0%,0,,
4/29/14,0.48%,0%,0,0%,0,,
4/30/14,0.30%,3%,0,0%,0,,
5/1/14,-0.01%,-1%,0,0%,0,,
5/2/14,-0.13%,-3%,0,0%,0,,
5/5/14,0.19%,-1%,0,0%,0,,
5/6/14,-0.90%,3%,0,0%,0,,
5/7/14,0.56%,-1%,0,0%,0,,
5/8/14,-0.14%,1%,0,0%,0,,
5/9/14,0.15%,1%,0,0%,0,,
5/12/14,0.97%,-4%,0,0%,0,,
5/13/14,0.04%,2%,0,0%,0,,
5/14/14,-0.47%,1%,0,0%,0,,
5/15/14,-0.94%,1%,0,0%,0,,
5/16/14,0.37%,0%,0,0%,0,,
5/19/14,0.38%,7%,0,0%,0,,
5/20/14,-0.65%,1%,0,0%,0,,
5/21/14,0.81%,5%,0,0%,0,,
5/22/14,0.24%,1%,0,0%,0,,
5/23/14,0.42%,0%,0,0%,0,,
5/27/14,0.60%,10%,0,0%,0,,
5/28/14,-0.11%,-1%,0,0%,0,,
5/29/14,0.54%,8%,0,0%,0,,
5/30/14,0.18%,3%,0,0%,0,,
6/2/14,0.07%,7%,0,0%,0,,
6/3/14,-0.04%,-5%,0,0%,0,,
6/4/14,0.19%,3%,0,0%,0,,
6/5/14,0.65%,-1%,0,0%,0,,
6/6/14,0.46%,0%,0,0%,0,,
6/9/14,0.09%,1%,0,0%,0,,
6/10/14,-0.02%,-2%,0,0%,0,,
6/11/14,-0.35%,-7%,0,0%,0,,
6/12/14,-0.71%,2%,0,0%,0,,
6/13/14,0.31%,-4%,0,0%,0,,
6/16/14,0.08%,4%,0,0%,0,,
6/17/14,0.22%,0%,0,0%,0,,
6/18/14,0.77%,-1%,0,0%,0,,
6/19/14,0.13%,-2%,0,0%,0,,
6/20/14,0.17%,1%,0,0%,0,,
6/23/14,-0.01%,-1%,0,0%,0,,
6/24/14,-0.64%,-3%,0,0%,0,,
6/25/14,0.49%,3%,0,0%,0,,
6/26/14,-0.12%,3%,0,0%,0,,
6/27/14,0.19%,-1%,0,0%,0,,
6/30/14,-0.04%,8%,0,0%,0,,
7/1/14,0.67%,0%,0,0%,0,,
7/2/14,0.07%,-1%,0,0%,0,,
7/3/14,0.55%,-2%,0,0%,0,,
7/7/14,-0.39%,-1%,0,0%,0,,
7/8/14,-0.70%,1%,0,0%,0,,
7/9/14,0.46%,-1%,0,0%,0,,
7/10/14,-0.41%,2%,0,0%,0,,
7/11/14,0.15%,0%,0,0%,0,,
7/14/14,0.48%,-3%,0,0%,0,,
7/15/14,-0.19%,-1%,0,0%,0,,
7/16/14,0.42%,2%,0,0%,0,,
7/17/14,-1.18%,0%,0,0%,0,,
7/18/14,1.03%,0%,0,0%,0,,
7/21/14,-0.23%,-1%,0,0%,0,,
7/22/14,0.50%,0%,0,0%,0,,
7/23/14,0.18%,-3%,0,0%,0,,
7/24/14,0.05%,0%,0,0%,0,,
7/25/14,-0.48%,-1%,0,0%,0,,
7/28/14,0.03%,-2%,0,0%,0,,
7/29/14,-0.45%,-4%,0,0%,0,,
7/30/14,0.01%,4%,0,0%,0,,
7/31/14,-2.00%,2%,0,0%,0,,
8/1/14,-0.29%,-1%,0,0%,0,,
8/4/14,0.72%,-1%,0,0%,0,,
8/5/14,-0.97%,0%,0,0%,0,,
8/6/14,0.00%,1%,0,0%,0,,
8/7/14,-0.56%,1%,0,0%,0,,
8/8/14,1.15%,-1%,0,0%,0,,
8/11/14,0.28%,-4%,0,0%,0,,
8/12/14,-0.16%,-5%,0,0%,0,,
8/13/14,0.67%,-7%,0,0%,0,,
8/14/14,0.43%,-2%,0,0%,0,,
8/15/14,-0.01%,5%,0,0%,0,,
8/18/14,0.85%,-7%,0,0%,0,,
8/19/14,0.50%,7%,0,0%,0,,
8/20/14,0.25%,0%,0,0%,0,,
8/21/14,0.29%,0%,0,0%,0,,
8/22/14,-0.20%,-4%,0,0%,0,,
8/25/14,0.48%,3%,0,0%,0,,
8/26/14,0.11%,1%,0,0%,0,,
8/27/14,0.00%,-1%,0,0%,0,,
8/28/14,-0.17%,0%,0,0%,0,,
8/29/14,0.33%,-1%,0,0%,0,,
9/2/14,-0.05%,-5%,0,0%,0,,
9/3/14,-0.08%,2%,0,0%,0,,
9/4/14,-0.15%,-1%,0,0%,0,,
9/5/14,0.50%,0%,0,0%,0,,
9/8/14,-0.31%,-2%,0,0%,0,,
9/9/14,-0.65%,1%,0,0%,0,,
9/10/14,0.36%,0%,0,0%,0,,
9/11/14,0.09%,0%,0,0%,0,,
9/12/14,-0.60%,0%,0,0%,0,,
9/15/14,-0.07%,-2%,0,0%,0,,
9/16/14,0.75%,-1%,0,0%,0,,
9/17/14,0.13%,-8%,0,0%,0,,
9/18/14,0.49%,-6%,0,0%,0,,
9/19/14,-0.05%,3%,0,0%,0,,
9/22/14,-0.80%,6%,0,0%,0,,
9/23/14,-0.58%,-3%,0,0%,0,,
9/24/14,0.78%,-3%,0,0%,0,,
9/25/14,-1.62%,-2%,0,0%,0,,
9/26/14,0.86%,-1%,0,0%,0,,
9/29/14,-0.25%,-3%,0,0%,0,,
9/30/14,-0.28%,-1%,0,0%,0,,
10/1/14,-1.32%,-2%,0,0%,0,,
10/2/14,0.00%,-3%,0,0%,0,,
10/3/14,1.12%,-8%,0,0%,0,,
10/6/14,-0.16%,-1%,0,0%,0,,
10/7/14,-1.51%,6%,0,0%,0,,
10/8/14,1.75%,3%,0,0%,0,,
10/9/14,-2.07%,0%,1,6%,1,,
10/10/14,-1.15%,0%,0,0%,0,,
10/13/14,-1.65%,10%,0,0%,0,,
10/14/14,0.16%,-1%,0,0%,0,,
10/15/14,-0.81%,-3%,0,0%,0,,
10/16/14,0.01%,0%,0,0%,0,,
10/17/14,1.29%,3%,0,0%,0,,
10/20/14,0.91%,-2%,0,0%,0,,
10/21/14,1.96%,-1%,0,0%,0,,
10/22/14,-0.73%,-6%,0,0%,0,,
10/23/14,1.23%,0%,0,0%,0,,
10/24/14,0.71%,-2%,0,0%,0,,
10/27/14,-0.15%,1%,0,0%,0,,
10/28/14,1.19%,0%,0,0%,0,,
10/29/14,-0.14%,-5%,0,0%,0,,
10/30/14,0.62%,3%,0,0%,0,,
10/31/14,1.17%,-2%,0,0%,0,,
11/3/14,-0.01%,-4%,0,0%,0,,
11/4/14,-0.28%,1%,0,0%,0,,
11/5/14,0.57%,3%,0,0%,0,,
11/6/14,0.38%,3%,0,0%,0,,
11/7/14,0.03%,-2%,0,0%,0,,
11/10/14,0.31%,7%,0,0%,0,,
11/11/14,0.07%,0%,0,0%,0,,
11/12/14,-0.07%,18%,0,0%,0,,
11/13/14,0.05%,-1%,0,0%,0,,
11/14/14,0.02%,-8%,0,0%,0,,
11/17/14,0.07%,-3%,0,0%,0,,
11/18/14,0.51%,-1%,0,0%,0,,
11/19/14,-0.15%,1%,0,0%,0,,
11/20/14,0.20%,-6%,0,0%,0,,
11/21/14,0.52%,-2%,0,0%,0,,
11/24/14,0.29%,8%,0,0%,0,,
11/25/14,-0.12%,-1%,0,0%,0,,
11/26/14,0.28%,-3%,0,0%,0,,
11/28/14,-0.25%,3%,0,0%,0,,
12/1/14,-0.68%,0%,0,0%,0,,
12/2/14,0.64%,1%,0,0%,0,,
12/3/14,0.38%,-1%,0,0%,0,,
12/4/14,-0.12%,-2%,0,0%,0,,
12/5/14,0.17%,2%,0,0%,0,,
12/8/14,-0.73%,-3%,0,0%,0,,
12/9/14,-0.02%,-3%,0,0%,0,,
12/10/14,-1.64%,-1%,0,0%,0,,
12/11/14,0.45%,0%,0,0%,0,,
12/12/14,-1.62%,2%,0,0%,0,,
12/15/14,-0.63%,-2%,0,0%,0,,
12/16/14,-0.85%,-4%,0,0%,0,,
12/17/14,2.04%,-3%,0,0%,0,,
12/18/14,2.40%,-3%,0,0%,0,,
12/19/14,0.46%,2%,0,0%,0,,
12/22/14,0.38%,4%,0,0%,0,,
12/23/14,0.17%,1%,0,0%,0,,
12/24/14,-0.01%,-4%,0,0%,0,,
12/26/14,0.33%,2%,0,0%,0,,
12/29/14,0.09%,-5%,0,0%,0,,
12/30/14,-0.49%,-1%,0,0%,0,,
12/31/14,-1.03%,2%,0,0%,0,,
1/2/15,-0.03%,-1%,0,0%,0,,
1/5/15,-1.83%,-13%,0,0%,0,,
1/6/15,-0.89%,3%,0,0%,0,,
1/7/15,1.16%,3%,0,0%,0,,
1/8/15,1.79%,-3%,0,0%,0,,
1/9/15,-0.84%,2%,0,0%,0,,
1/12/15,-0.81%,-6%,0,0%,0,,
1/13/15,-0.26%,-18%,0,0%,0,,
1/14/15,-0.58%,-25%,0,0%,0,,
1/15/15,-0.92%,27%,0,0%,0,,
1/16/15,1.34%,-1%,0,0%,0,,
1/20/15,0.15%,2%,0,0%,0,,
1/21/15,0.47%,8%,0,0%,0,,
1/22/15,1.53%,2%,0,0%,0,,
1/23/15,-0.55%,0%,0,0%,0,,
1/26/15,0.26%,16%,0,0%,0,,
1/27/15,-1.34%,-2%,0,0%,0,,
1/28/15,-1.35%,-10%,0,0%,0,,
1/29/15,0.95%,-1%,0,0%,0,,
1/30/15,-1.30%,-1%,0,0%,0,,
2/2/15,1.30%,3%,0,0%,0,,
2/3/15,1.44%,-5%,0,0%,0,,
2/4/15,-0.42%,0%,0,0%,0,,
2/5/15,1.03%,-4%,0,0%,0,,
2/6/15,-0.34%,3%,0,0%,0,,
2/9/15,-0.42%,-1%,0,0%,0,,
2/10/15,1.07%,0%,0,0%,0,,
2/11/15,0.00%,0%,0,0%,0,,
2/12/15,0.96%,1%,0,0%,0,,
2/13/15,0.41%,6%,0,0%,0,,
2/17/15,0.16%,3%,0,0%,0,,
2/18/15,-0.03%,-3%,0,0%,0,,
2/19/15,-0.11%,3%,0,0%,0,,
2/20/15,0.61%,1%,0,0%,0,,
2/23/15,-0.03%,-2%,0,0%,0,,
2/24/15,0.28%,0%,0,0%,0,,
2/25/15,-0.08%,-1%,0,0%,0,,
2/26/15,-0.15%,0%,0,0%,0,,
2/27/15,-0.30%,7%,0,0%,0,,
3/2/15,0.61%,8%,0,0%,0,,
3/3/15,-0.45%,3%,0,0%,0,,
3/4/15,-0.44%,-3%,0,0%,0,,
3/5/15,0.12%,1%,0,0%,0,,
3/6/15,-1.42%,-1%,0,0%,0,,
3/9/15,0.39%,6%,0,0%,0,,
3/10/15,-1.70%,0%,0,0%,0,,
3/11/15,-0.19%,1%,0,0%,0,,
3/12/15,1.26%,-1%,0,0%,0,,
3/13/15,-0.61%,-2%,0,0%,0,,
3/16/15,1.35%,1%,0,0%,0,,
3/17/15,-0.33%,-2%,0,0%,0,,
3/18/15,1.22%,-10%,0,0%,0,,
3/19/15,-0.49%,2%,0,0%,0,,
3/20/15,0.90%,0%,0,0%,0,,
3/23/15,-0.17%,1%,0,0%,0,,
3/24/15,-0.61%,-7%,0,0%,0,,
3/25/15,-1.46%,0%,0,0%,0,,
3/26/15,-0.24%,1%,0,0%,0,,
3/27/15,0.24%,0%,0,0%,0,,
3/30/15,1.22%,-1%,0,0%,0,,
3/31/15,-0.88%,1%,0,0%,0,,
4/1/15,-0.40%,3%,0,0%,0,,
4/2/15,0.35%,1%,0,0%,0,,
4/6/15,0.66%,-1%,0,0%,0,,
4/7/15,-0.21%,-3%,0,0%,0,,
4/8/15,0.27%,-1%,0,0%,0,,
4/9/15,0.45%,-4%,0,0%,0,,
4/10/15,0.52%,1%,0,0%,0,,
4/13/15,-0.46%,-8%,0,0%,0,,
4/14/15,0.16%,2%,0,0%,0,,
4/15/15,0.51%,2%,0,0%,0,,
4/16/15,-0.08%,-2%,0,0%,0,,
4/17/15,-1.13%,0%,0,0%,0,,
4/20/15,0.92%,5%,0,0%,0,,
4/21/15,-0.15%,0%,0,0%,0,,
4/22/15,0.51%,1%,0,0%,0,,
4/23/15,0.24%,-2%,0,0%,0,,
4/24/15,0.23%,-2%,0,0%,0,,
4/27/15,-0.41%,0%,0,0%,0,,
4/28/15,0.28%,0%,0,0%,0,,
4/29/15,-0.37%,5%,0,0%,0,,
4/30/15,-1.01%,-1%,0,0%,0,,
5/1/15,1.09%,1%,0,0%,0,,
5/4/15,0.29%,0%,0,0%,0,,
5/5/15,-1.18%,-2%,0,0%,0,,
5/6/15,-0.45%,3%,0,0%,0,,
5/7/15,0.38%,3%,0,0%,0,,
5/8/15,1.35%,-1%,0,0%,0,,
5/11/15,-0.51%,0%,0,0%,0,,
5/12/15,-0.29%,-2%,0,0%,0,,
5/13/15,-0.03%,0%,0,0%,0,,
5/14/15,1.08%,0%,0,0%,0,,
5/15/15,0.08%,0%,0,0%,0,,
5/18/15,0.30%,-2%,0,0%,0,,
5/19/15,-0.06%,1%,0,0%,0,,
5/20/15,-0.09%,1%,0,0%,0,,
5/21/15,0.23%,2%,0,0%,0,,
5/22/15,-0.22%,-1%,0,0%,0,,
5/26/15,-1.03%,-1%,0,0%,0,,
5/27/15,0.92%,0%,0,0%,0,,
5/28/15,-0.13%,0%,0,0%,0,,
5/29/15,-0.63%,-2%,0,0%,0,,
6/1/15,0.21%,-3%,0,0%,0,,
6/2/15,-0.10%,0%,0,0%,0,,
6/3/15,0.21%,-1%,0,0%,0,,
6/4/15,-0.86%,0%,0,0%,0,,
6/5/15,-0.14%,0%,0,0%,0,,
6/8/15,-0.65%,2%,0,0%,0,,
6/9/15,0.04%,0%,0,0%,0,,
6/10/15,1.20%,0%,0,0%,0,,
6/11/15,0.17%,0%,0,0%,0,,
6/12/15,-0.70%,1%,0,0%,0,,
6/15/15,-0.46%,7%,0,0%,0,,
6/16/15,0.57%,-1%,0,0%,0,,
6/17/15,0.20%,0%,0,0%,0,,
6/18/15,0.99%,-2%,0,0%,0,,
6/19/15,-0.53%,0%,0,0%,0,,
6/22/15,0.61%,0%,0,0%,0,,
6/23/15,0.06%,-1%,0,0%,0,,
6/24/15,-0.74%,1%,0,0%,0,,
6/25/15,-0.30%,0%,0,0%,0,,
6/26/15,-0.04%,3%,0,0%,0,,
6/29/15,-2.09%,5%,1,7%,0,,
6/30/15,0.27%,-2%,0,0%,0,,
7/1/15,0.69%,-1%,0,0%,0,,
7/2/15,-0.03%,0%,0,0%,0,,
7/6/15,-0.39%,4%,0,0%,0,,
7/7/15,0.61%,1%,0,0%,0,,
7/8/15,-1.67%,0%,0,0%,0,,
7/9/15,0.23%,5%,0,0%,0,,
7/10/15,1.23%,3%,0,0%,0,,
7/13/15,1.11%,-2%,0,0%,0,,
7/14/15,0.45%,-1%,0,0%,0,,
7/15/15,-0.07%,-2%,0,0%,0,,
7/16/15,0.80%,1%,0,0%,0,,
7/17/15,0.11%,-2%,0,0%,0,,
7/20/15,0.08%,0%,0,0%,0,,
7/21/15,-0.43%,0%,0,0%,0,,
7/22/15,-0.24%,0%,0,0%,0,,
7/23/15,-0.57%,5%,0,0%,0,,
7/24/15,-1.07%,0%,0,0%,0,,
7/27/15,-0.58%,2%,0,0%,0,,
7/28/15,1.24%,-2%,0,0%,0,,
7/29/15,0.73%,0%,0,0%,0,,
7/30/15,0.00%,-1%,0,0%,0,,
7/31/15,-0.23%,-1%,0,0%,0,,
8/3/15,-0.28%,1%,0,0%,0,,
8/4/15,-0.22%,-1%,0,0%,0,,
8/5/15,0.31%,-1%,0,0%,0,,
8/6/15,-0.78%,0%,0,0%,0,,
8/7/15,-0.29%,-7%,0,0%,0,,
8/10/15,1.28%,4%,0,0%,0,,
8/11/15,-0.96%,-1%,0,0%,0,,
8/12/15,0.10%,-2%,0,0%,0,,
8/13/15,-0.13%,1%,0,0%,0,,
8/14/15,0.39%,-2%,0,0%,0,,
8/17/15,0.52%,-5%,0,0%,0,,
8/18/15,-0.26%,-8%,0,0%,0,,
8/19/15,-0.83%,4%,0,0%,0,,
8/20/15,-2.11%,-1%,1,-1%,1,,
